,bore,stroke,horsepower,peak-rpm
74,2.97,3.23,68.0,5500.0
75,2.97,3.23,68.0,5500.0
76,3.03,3.39,102.0,5500.0
77,3.17,3.46,116.0,5500.0
78,3.35,3.46,88.0,5000.0
79,3.58,3.86,145.0,5000.0
80,3.59,3.86,145.0,5000.0
81,3.59,3.86,145.0,5000.0
82,3.35,3.46,88.0,5000.0
83,3.35,3.46,88.0,5000.0
84,3.17,3.46,116.0,5500.0
85,3.17,3.46,116.0,5500.0
86,3.15,3.29,69.0,5200.0
87,2.99,3.47,55.0,4800.0
88,3.15,3.29,69.0,5200.0
89,3.15,3.29,69.0,5200.0
90,3.15,3.29,69.0,5200.0
91,3.15,3.29,69.0,5200.0
92,3.15,3.29,69.0,5200.0
93,3.15,3.29,69.0,5200.0
94,3.15,3.29,69.0,5200.0
95,3.15,3.29,69.0,5200.0
96,3.33,3.47,97.0,5200.0
97,3.33,3.47,97.0,5200.0
98,3.43,3.27,152.0,5200.0
99,3.43,3.27,152.0,5200.0
100,3.43,3.27,152.0,5200.0
101,3.43,3.27,160.0,5200.0
102,3.43,3.27,200.0,5200.0
103,3.43,3.27,160.0,5200.0
104,3.46,3.19,97.0,5000.0
105,3.7,3.52,95.0,4150.0
106,3.46,3.19,97.0,5000.0
107,3.7,3.52,95.0,4150.0
108,3.46,2.19,95.0,5000.0
109,3.7,3.52,95.0,4150.0
110,3.46,2.19,95.0,5000.0
111,3.7,3.52,95.0,4150.0
112,3.46,3.19,97.0,5000.0
113,3.7,3.52,95.0,4150.0
114,3.61,3.21,142.0,5600.0
115,2.97,3.23,68.0,5500.0
116,3.03,3.39,102.0,5500.0
117,2.97,3.23,68.0,5500.0
118,2.97,3.23,68.0,5500.0
119,2.97,3.23,68.0,5500.0
120,3.35,3.46,88.0,5000.0
121,3.59,3.86,145.0,5000.0
122,3.94,3.11,143.0,5500.0
123,3.74,2.9,207.0,5900.0
124,3.74,2.9,207.0,5900.0
125,3.74,2.9,207.0,5900.0
126,3.46,3.9,,
127,3.46,3.9,,
128,3.54,3.07,110.0,5250.0
129,3.54,3.07,110.0,5250.0
130,2.54,2.07,110.0,5250.0
131,3.54,3.07,110.0,5250.0
132,3.54,3.07,160.0,5500.0
133,3.54,3.07,160.0,5500.0
134,3.62,2.36,69.0,4900.0
135,3.62,2.64,73.0,4400.0
136,3.62,2.64,73.0,4400.0
137,3.62,2.64,82.0,4800.0
138,3.62,2.64,82.0,4400.0
139,3.62,2.64,94.0,5200.0
140,3.62,2.64,82.0,4800.0
141,3.62,2.64,111.0,4800.0
142,3.62,2.64,82.0,4800.0
143,3.62,2.64,94.0,5200.0
144,3.62,2.64,82.0,4800.0
145,3.62,2.64,111.0,4800.0
146,3.05,3.03,62.0,4800.0
147,3.05,3.03,62.0,4800.0
148,3.05,3.03,62.0,4800.0
149,3.05,3.03,62.0,4800.0
150,3.05,3.03,62.0,4800.0
151,3.05,3.03,62.0,4800.0
152,3.19,3.03,70.0,4800.0
153,3.19,3.03,70.0,4800.0
154,3.27,3.35,56.0,4500.0
155,3.27,3.35,56.0,4500.0
156,3.19,3.03,70.0,4800.0
157,3.19,3.03,70.0,4800.0
158,3.19,3.03,70.0,4800.0
159,3.19,3.03,70.0,4800.0
160,3.19,3.03,70.0,4800.0
161,3.24,3.08,112.0,6600.0
162,3.24,3.08,112.0,6600.0
163,3.62,3.5,116.0,4800.0
164,3.62,3.5,116.0,4800.0
165,3.62,3.5,116.0,4800.0
166,3.62,3.5,116.0,4800.0
167,3.62,3.5,116.0,4800.0
168,3.62,3.5,116.0,4800.0
169,3.31,3.54,92.0,4200.0
170,3.27,3.35,73.0,4500.0
171,3.31,3.54,92.0,4200.0
172,3.31,3.54,92.0,4200.0
173,3.31,3.54,92.0,4200.0
174,3.27,3.35,161.0,5200.0
175,3.27,3.35,161.0,5200.0
176,3.27,3.35,156.0,5200.0
177,3.27,3.35,156.0,5200.0
178,3.01,3.4,52.0,4800.0
179,3.19,3.4,85.0,5250.0
180,3.01,3.4,52.0,4800.0
181,3.19,3.4,85.0,5250.0
182,3.19,3.4,85.0,5250.0
183,3.01,3.4,68.0,4500.0
184,3.19,3.4,100.0,5500.0
185,3.19,3.4,90.0,5500.0
186,3.19,3.4,90.0,5500.0
187,3.19,3.4,110.0,5500.0
188,3.01,3.4,68.0,4500.0
189,3.19,3.4,88.0,5500.0
190,3.78,3.15,114.0,5400.0
191,3.78,3.15,114.0,5400.0
192,3.78,3.15,114.0,5400.0
193,3.78,3.15,114.0,5400.0
194,3.62,3.15,162.0,5100.0
195,3.62,3.15,162.0,5100.0
196,3.78,3.15,114.0,5400.0
197,3.78,3.15,160.0,5300.0
198,3.58,2.87,134.0,5500.0
199,3.01,3.4,106.0,4800.0
200,3.78,3.15,114.0,5400.0
201,3.78,3.15,114.0,5400.0
