,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
width,-0.2502622089335414,0.07966682321305736,0.0047572736318678335,-0.24069986808039306,0.3157662394955865,-0.23600491490472786,0.1576444411267141,0.48577300058625583,-0.05280976521671683,0.8165856387257121,0.8582373860008792,1.0,0.3090882077629087,0.8666901050276768,0.0643497131579065,-0.15884768384706152,0.7279407576382358,0.5159446243856209,0.5245305213855309,0.19209855389230998,0.18771567769126005,-0.24329181295451335,-0.22127990430061106,-0.6356809600459736,-0.6819235830117427,0.7532359420314758
height,-0.5516910960088224,-0.3755603836103841,0.23423785897374744,-0.279984583032466,0.0966470310369051,-0.5280504317911064,0.5716758715407074,-0.02073018768826618,-0.10951725583797939,0.5917511849169502,0.4938971092075237,0.3090882077629087,1.0,0.3099042339649968,-0.19515429107758234,-0.31721268050416523,0.07577551592907411,0.021177514787666073,0.12336246449949041,-0.09808430408662659,0.2588124344900586,0.14309323869517032,-0.31098157941904175,-0.05300101289132247,-0.1074314090990065,0.13900270848441978
curb-weight,-0.23841891640346896,0.0941190783810126,0.02372046105485317,-0.21884992156208005,0.3278670518166755,-0.22067465871135702,0.14749603775646486,0.5929623662663868,0.05056708233015267,0.7828933807242573,0.8812574229511139,0.8666901050276768,0.3099042339649968,1.0,0.004721061625309604,-0.023763146320909728,0.848462992908703,0.6042851959798577,0.6167910704549755,0.14062598502577026,0.1552446856426618,-0.297480892664237,-0.27856191131611846,-0.7507104143673438,-0.7956780705210652,0.8352772602372397
engine-type,0.09199430601175802,-0.056992604719915865,-0.04498374572745833,0.12385911168480297,-0.13042349640271902,0.10100381370897593,-0.08051593179626228,-0.06765761706908564,0.1257334122180092,-0.14369273481134998,-0.08990864292050224,0.0643497131579065,-0.19515429107758234,0.004721061625309604,1.0,0.2884488408627021,0.11805240105467558,-0.04287487738244043,0.21223172044141303,-0.01818807610609624,-0.10519236184337458,-0.10153334375807102,0.07544200381574827,-0.1706776914934256,-0.1557942506806619,0.1250308947804469
num-of-cylinders,0.19954553048197407,0.17114534819460975,-0.05088278459486809,0.12031404891842613,-0.13011118105851638,0.17130315819884825,-0.0640820454529458,0.22929602512224476,0.13609888096386363,-0.19055741894501038,-0.11226820881498208,-0.15884768384706152,-0.31721268050416523,-0.023763146320909728,0.2884488408627021,1.0,-0.06487303421462037,0.027718159574300343,0.18101095997347666,0.10787156459628108,-0.07254780919436515,-0.12791889388458688,0.22697074824635485,-0.15623454505712672,-0.10049485367192627,0.004484962558171613
engine-size,-0.11242905176979452,0.10980838498999841,-0.08199843965484435,-0.07017886845744,0.1123516564453981,-0.04011607629135452,-0.06289410368191461,0.526009078997517,0.19909467749536386,0.5706539574388158,0.6844454220711597,0.7279407576382358,0.07577551592907411,0.848462992908703,0.11805240105467558,-0.06487303421462037,1.0,0.5076364612229671,0.5029076304193872,0.12161547916215866,0.028597913115142457,-0.22450265941764144,-0.2506598455924564,-0.6504898765124049,-0.6796108302090906,0.871050504788838
fuel-system,0.08467764535495358,0.225149251601424,0.14975806652749304,0.044157189352857534,0.28767308822895393,0.009267025746169324,-0.05277878742929053,0.4387199083715641,0.10600601096219725,0.3851070522999281,0.5532579983046402,0.5159446243856209,0.021177514787666073,0.6042851959798577,-0.04287487738244043,0.027718159574300343,0.5076364612229671,1.0,0.4530352472998373,0.06408029758009222,-0.10045269229187685,-0.5437741653858041,0.0343085706763659,-0.6650220196745776,-0.6393110614059155,0.5239838251523377
bore,-0.07398448194097451,-0.01089818899146274,0.22088089816448173,-0.024717682738139603,0.211032581164754,-0.08560324530818215,-0.005584845890968932,0.5007206177874856,0.17268086223365584,0.46173400989969365,0.5820721241285064,0.5245305213855309,0.12336246449949041,0.6167910704549755,0.21223172044141303,0.18101095997347666,0.5029076304193872,0.4530352472998373,1.0,-0.03658475285834305,-0.020187664023866136,-0.2448425297848776,-0.1847771836691621,-0.623928984539851,-0.6241319268170105,0.5296380214786858
stroke,0.046727811684189303,0.09749467421275898,-0.25075407972010055,-0.2771171910729414,0.18485767099579548,0.058792751654079684,-0.03260586564027345,0.11613600745900782,-0.15995548966718862,0.15529131702070845,0.11389499463630351,0.19209855389230998,-0.09808430408662659,0.14062598502577026,-0.01818807610609624,0.10787156459628108,0.12161547916215866,0.06408029758009222,-0.03658475285834305,1.0,0.2298623208757027,-0.026580944380187974,0.012218380445228294,-0.067509317559261,-0.06531644251523976,0.04676641424667031
compression-ratio,-0.18001203790984208,-0.11384768323774444,0.13076791106437471,-0.9851679039187696,0.3023284922587836,-0.11294589562701395,0.13418138383841408,0.11868587748333198,-0.020363912963089082,0.2471275774189726,0.15819312663089233,0.18771567769126005,0.2588124344900586,0.1552446856426618,-0.10519236184337458,-0.07254780919436515,0.028597913115142457,-0.10045269229187685,-0.020187664023866136,0.2298623208757027,1.0,0.09885423429891213,-0.4541586860230442,0.3314338281194706,0.2686700685271803,0.06988087540578548
horsepower,-0.1655086307426883,-0.18226009739456772,0.0923281884657529,-0.08848022842041008,-0.2400923033243025,-0.16032138716591876,0.13160563043479964,-0.29532701350658125,0.00013325954938981667,-0.10259495858572247,-0.22963292816751993,-0.24329181295451335,0.14309323869517032,-0.297480892664237,-0.10153334375807102,-0.12791889388458688,-0.22450265941764144,-0.5437741653858041,-0.2448425297848776,-0.026580944380187974,0.09885423429891213,1.0,-0.2448889639393286,0.4412896345987591,0.4280924471836182,-0.33821332498904066
peak-rpm,0.27266201925889394,0.21805342854939855,-0.1966980684314273,0.49295001426411666,-0.1812314679358411,0.2003342930417086,-0.08933450644564532,-0.07659846194723914,0.18158558826575377,-0.3538561196248519,-0.26877900913929864,-0.22127990430061106,-0.31098157941904175,-0.27856191131611846,0.07544200381574827,0.22697074824635485,-0.2506598455924564,0.0343085706763659,-0.1847771836691621,0.012218380445228294,-0.4541586860230442,-0.2448889639393286,1.0,-0.12103039770231229,-0.04976586275503858,-0.10644592869634517
city-mpg,-0.028289291858931656,-0.21937714108346767,0.05868322728469429,-0.2665766497675342,-0.19678043593098504,0.0592926020706967,0.01206304459223318,-0.47222570781290224,-0.15617909439605426,-0.47424596231976984,-0.6669988058044303,-0.6356809600459736,-0.05300101289132247,-0.7507104143673438,-0.1706776914934256,-0.15623454505712672,-0.6504898765124049,-0.6650220196745776,-0.623928984539851,-0.067509317559261,0.3314338281194706,0.4412896345987591,-0.12103039770231229,1.0,0.9721158510787846,-0.6882544977396161
highway-mpg,0.04202535003299091,-0.17704367134666796,0.05298719235564391,-0.19966649284983856,-0.24749092889352792,0.07722991509055051,-0.02311621123248134,-0.47536293727067314,-0.10227355387889142,-0.5455039838124951,-0.6994077732105143,-0.6819235830117427,-0.1074314090990065,-0.7956780705210652,-0.1557942506806619,-0.10049485367192627,-0.6796108302090906,-0.6393110614059155,-0.6241319268170105,-0.06531644251523976,0.2686700685271803,0.4280924471836182,-0.04976586275503858,0.9721158510787846,1.0,-0.7059241601120266
price,-0.0902424492663875,0.12743986192134088,-0.15416055815403157,-0.10796437677843143,0.18936556274451385,-0.06252717554061964,-0.07004154238678882,0.5912493336702332,0.3291775124273229,0.5883819436305828,0.6927744988876291,0.7532359420314758,0.13900270848441978,0.8352772602372397,0.1250308947804469,0.004484962558171613,0.871050504788838,0.5239838251523377,0.5296380214786858,0.04676641424667031,0.06988087540578548,-0.33821332498904066,-0.10644592869634517,-0.6882544977396161,-0.7059241601120266,1.0
