,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,compression-ratio,city-mpg,highway-mpg,price,bore,stroke,horsepower,peak-rpm,avg_mpg,fuel-consumption,engine-size-per-weight,power-to-weight
50,1,113.0,93.1,166.8,64.2,54.1,1945,91,9.0,31,38,6695,3.03,3.15,68.0,5000.0,34.5,0.028985507246376812,0.0467866323907455,0.03496143958868895
51,1,113.0,93.1,166.8,64.2,54.1,1950,91,9.0,31,38,7395,3.08,3.15,68.0,5000.0,34.5,0.028985507246376812,0.04666666666666667,0.03487179487179487
52,3,150.0,95.3,169.0,65.7,49.6,2380,70,9.4,17,23,10945,3.3329797979797977,3.256363636363636,101.0,6000.0,20.0,0.05,0.029411764705882353,0.04243697478991597
53,3,150.0,95.3,169.0,65.7,49.6,2380,70,9.4,17,23,11845,3.3329797979797977,3.256363636363636,101.0,6000.0,20.0,0.05,0.029411764705882353,0.04243697478991597
54,3,150.0,95.3,169.0,65.7,49.6,2385,70,9.4,17,23,13645,3.3329797979797977,3.256363636363636,101.0,6000.0,20.0,0.05,0.029350104821802937,0.042348008385744235
55,3,150.0,95.3,169.0,65.7,49.6,2500,80,9.4,16,23,15645,3.3329797979797977,3.256363636363636,135.0,6000.0,19.5,0.05128205128205128,0.032,0.054
56,1,129.0,98.8,177.8,66.5,53.7,2385,122,8.6,26,32,8845,3.39,3.39,84.0,4800.0,29.0,0.034482758620689655,0.05115303983228511,0.03522012578616352
57,0,115.0,98.8,177.8,66.5,55.5,2410,122,8.6,26,32,8495,3.39,3.39,84.0,4800.0,29.0,0.034482758620689655,0.05062240663900415,0.034854771784232366
58,1,129.0,98.8,177.8,66.5,53.7,2385,122,8.6,26,32,10595,3.39,3.39,84.0,4800.0,29.0,0.034482758620689655,0.05115303983228511,0.03522012578616352
59,0,115.0,98.8,177.8,66.5,55.5,2410,122,8.6,26,32,10245,3.39,3.39,84.0,4800.0,29.0,0.034482758620689655,0.05062240663900415,0.034854771784232366
60,0,121.83636363636364,98.8,177.8,66.5,55.5,2443,122,22.7,36,42,10795,3.39,3.39,64.0,4650.0,39.0,0.02564102564102564,0.049938600081866555,0.026197298403602128
61,0,115.0,98.8,177.8,66.5,55.5,2425,122,8.6,26,32,11245,3.39,3.39,84.0,4800.0,29.0,0.034482758620689655,0.05030927835051546,0.03463917525773196
62,0,118.0,104.9,175.0,66.1,54.4,2670,140,8.0,19,27,18280,3.76,3.16,120.0,5000.0,23.0,0.043478260869565216,0.052434456928838954,0.0449438202247191
63,0,121.83636363636364,104.9,175.0,66.1,54.4,2700,134,22.0,31,39,18344,3.43,3.64,72.0,4200.0,35.0,0.02857142857142857,0.04962962962962963,0.02666666666666667
64,-1,93.0,110.0,190.9,70.3,56.5,3515,183,21.5,22,25,25552,3.58,3.64,123.0,4350.0,23.5,0.0425531914893617,0.05206258890469417,0.03499288762446657
65,-1,93.0,110.0,190.9,70.3,58.7,3750,183,21.5,22,25,28248,3.58,3.64,123.0,4350.0,23.5,0.0425531914893617,0.0488,0.0328
66,0,93.0,106.7,187.5,70.3,54.9,3495,183,21.5,22,25,28176,3.58,3.64,123.0,4350.0,23.5,0.0425531914893617,0.05236051502145923,0.0351931330472103
67,-1,93.0,115.6,202.6,71.7,56.3,3770,183,21.5,22,25,31600,3.58,3.64,123.0,4350.0,23.5,0.0425531914893617,0.048541114058355435,0.03262599469496021
68,-1,121.83636363636364,115.6,202.6,71.7,56.5,3740,234,8.3,16,18,34184,3.46,3.1,155.0,4750.0,17.0,0.058823529411764705,0.06256684491978609,0.04144385026737968
69,3,142.0,96.6,180.3,70.5,50.8,3685,234,8.3,16,18,35056,3.46,3.1,155.0,4750.0,17.0,0.058823529411764705,0.06350067842605156,0.04206241519674356
70,0,121.83636363636364,120.9,208.1,71.7,56.7,3900,308,8.0,14,16,40960,3.8,3.35,184.0,4500.0,15.0,0.06666666666666667,0.07897435897435898,0.04717948717948718
71,1,121.83636363636364,112.0,199.2,72.0,55.4,3715,304,8.0,14,16,45400,3.8,3.35,184.0,4500.0,15.0,0.06666666666666667,0.08183041722745626,0.04952893674293405
72,1,121.83636363636364,102.7,178.4,68.0,54.8,2910,140,8.0,19,24,16503,3.78,3.12,175.0,5000.0,21.5,0.046511627906976744,0.048109965635738834,0.06013745704467354
73,2,161.0,93.7,157.3,64.4,50.8,1918,92,9.4,37,41,5389,2.97,3.23,68.0,5500.0,39.0,0.02564102564102564,0.047966631908237745,0.035453597497393116
74,2,161.0,93.7,157.3,64.4,50.8,1944,92,9.4,31,38,6189,2.97,3.23,68.0,5500.0,34.5,0.028985507246376812,0.047325102880658436,0.03497942386831276
75,2,161.0,93.7,157.3,64.4,50.8,2004,92,9.4,31,38,6669,2.97,3.23,68.0,5500.0,34.5,0.028985507246376812,0.04590818363273453,0.033932135728542916
76,1,161.0,93.0,157.3,63.8,50.8,2145,98,7.6,24,30,7689,3.03,3.39,102.0,5500.0,27.0,0.037037037037037035,0.04568764568764569,0.04755244755244755
77,3,153.0,96.3,173.0,65.4,49.4,2370,110,7.5,23,30,9959,3.17,3.46,116.0,5500.0,26.5,0.03773584905660377,0.046413502109704644,0.048945147679324896
78,3,153.0,96.3,173.0,65.4,49.4,2328,122,8.5,25,32,8499,3.35,3.46,88.0,5000.0,28.5,0.03508771929824561,0.05240549828178694,0.037800687285223365
79,3,121.83636363636364,95.9,173.2,66.3,50.2,2833,156,7.0,19,24,12629,3.58,3.86,145.0,5000.0,21.5,0.046511627906976744,0.05506530180021179,0.05118249205788916
80,3,121.83636363636364,95.9,173.2,66.3,50.2,2921,156,7.0,19,24,14869,3.59,3.86,145.0,5000.0,21.5,0.046511627906976744,0.05340636768230058,0.04964053406367682
81,3,121.83636363636364,95.9,173.2,66.3,50.2,2926,156,7.0,19,24,14489,3.59,3.86,145.0,5000.0,21.5,0.046511627906976744,0.05331510594668489,0.04955570745044429
82,1,125.0,96.3,172.4,65.4,51.6,2365,122,8.5,25,32,6989,3.35,3.46,88.0,5000.0,28.5,0.03508771929824561,0.051585623678646934,0.037209302325581395
83,1,125.0,96.3,172.4,65.4,51.6,2405,122,8.5,25,32,8189,3.35,3.46,88.0,5000.0,28.5,0.03508771929824561,0.05072765072765073,0.03659043659043659
84,1,125.0,96.3,172.4,65.4,51.6,2403,110,7.5,23,30,9279,3.17,3.46,116.0,5500.0,26.5,0.03773584905660377,0.04577611319184353,0.04827299209321681
85,-1,137.0,96.3,172.4,65.4,51.6,2403,110,7.5,23,30,9279,3.17,3.46,116.0,5500.0,26.5,0.03773584905660377,0.04577611319184353,0.04827299209321681
86,1,128.0,94.5,165.3,63.8,54.5,1889,97,9.4,31,37,5499,3.15,3.29,69.0,5200.0,34.0,0.029411764705882353,0.0513499205929063,0.036527263102170464
87,1,128.0,94.5,165.3,63.8,54.5,2017,103,21.9,45,50,7099,2.99,3.47,55.0,4800.0,47.5,0.021052631578947368,0.051065939514129896,0.027268220128904314
88,1,128.0,94.5,165.3,63.8,54.5,1918,97,9.4,31,37,6649,3.15,3.29,69.0,5200.0,34.0,0.029411764705882353,0.05057351407716371,0.03597497393117831
89,1,122.0,94.5,165.3,63.8,54.5,1938,97,9.4,31,37,6849,3.15,3.29,69.0,5200.0,34.0,0.029411764705882353,0.0500515995872033,0.03560371517027864
90,1,103.0,94.5,170.2,63.8,53.5,2024,97,9.4,31,37,7349,3.15,3.29,69.0,5200.0,34.0,0.029411764705882353,0.04792490118577075,0.03409090909090909
91,1,128.0,94.5,165.3,63.8,54.5,1951,97,9.4,31,37,7299,3.15,3.29,69.0,5200.0,34.0,0.029411764705882353,0.04971809328549462,0.035366478728856995
92,1,128.0,94.5,165.6,63.8,53.3,2028,97,9.4,31,37,7799,3.15,3.29,69.0,5200.0,34.0,0.029411764705882353,0.04783037475345168,0.034023668639053255
93,1,122.0,94.5,165.3,63.8,54.5,1971,97,9.4,31,37,7499,3.15,3.29,69.0,5200.0,34.0,0.029411764705882353,0.049213597158802636,0.0350076103500761
94,1,103.0,94.5,170.2,63.8,53.5,2037,97,9.4,31,37,7999,3.15,3.29,69.0,5200.0,34.0,0.029411764705882353,0.047619047619047616,0.033873343151693665
95,2,168.0,95.1,162.4,63.8,53.3,2008,97,9.4,31,37,8249,3.15,3.29,69.0,5200.0,34.0,0.029411764705882353,0.04830677290836653,0.03436254980079681
96,0,106.0,97.2,173.4,65.2,54.7,2324,120,8.5,27,34,8949,3.33,3.47,97.0,5200.0,30.5,0.03278688524590164,0.05163511187607573,0.04173838209982788
97,0,106.0,97.2,173.4,65.2,54.7,2302,120,8.5,27,34,9549,3.33,3.47,97.0,5200.0,30.5,0.03278688524590164,0.052128583840139006,0.0421372719374457
98,0,128.0,100.4,181.7,66.5,55.1,3095,181,9.0,17,22,13499,3.43,3.27,152.0,5200.0,19.5,0.05128205128205128,0.05848142164781906,0.04911147011308562
99,0,108.0,100.4,184.6,66.5,56.1,3296,181,9.0,17,22,14399,3.43,3.27,152.0,5200.0,19.5,0.05128205128205128,0.054915048543689324,0.04611650485436893
100,0,108.0,100.4,184.6,66.5,55.1,3060,181,9.0,19,25,13499,3.43,3.27,152.0,5200.0,22.0,0.045454545454545456,0.05915032679738562,0.04967320261437908
101,3,194.0,91.3,170.7,67.9,49.7,3071,181,9.0,19,25,17199,3.43,3.27,160.0,5200.0,22.0,0.045454545454545456,0.058938456528817976,0.052100293064148484
102,3,194.0,91.3,170.7,67.9,49.7,3139,181,7.8,17,23,19699,3.43,3.27,200.0,5200.0,20.0,0.05,0.05766167569289583,0.06371455877668047
103,1,231.0,99.2,178.5,67.9,49.7,3139,181,9.0,19,25,18399,3.43,3.27,160.0,5200.0,22.0,0.045454545454545456,0.05766167569289583,0.05097164702134438
104,0,161.0,107.9,186.7,68.4,56.7,3020,120,8.4,19,24,11900,3.46,3.19,97.0,5000.0,21.5,0.046511627906976744,0.039735099337748346,0.032119205298013244
105,0,161.0,107.9,186.7,68.4,56.7,3197,152,21.0,28,33,13200,3.7,3.52,95.0,4150.0,30.5,0.03278688524590164,0.0475445730372224,0.029715358148264
106,0,121.83636363636364,114.2,198.9,68.4,58.7,3230,120,8.4,19,24,12440,3.46,3.19,97.0,5000.0,21.5,0.046511627906976744,0.03715170278637771,0.030030959752321982
107,0,121.83636363636364,114.2,198.9,68.4,58.7,3430,152,21.0,25,25,13860,3.7,3.52,95.0,4150.0,25.0,0.04,0.044314868804664724,0.027696793002915453
108,0,161.0,107.9,186.7,68.4,56.7,3075,120,8.4,19,24,15580,3.46,2.19,95.0,5000.0,21.5,0.046511627906976744,0.03902439024390244,0.030894308943089432
109,0,161.0,107.9,186.7,68.4,56.7,3252,152,21.0,28,33,16900,3.7,3.52,95.0,4150.0,30.5,0.03278688524590164,0.046740467404674045,0.02921279212792128
110,0,121.83636363636364,114.2,198.9,68.4,56.7,3285,120,8.4,19,24,16695,3.46,2.19,95.0,5000.0,21.5,0.046511627906976744,0.0365296803652968,0.0289193302891933
111,0,121.83636363636364,114.2,198.9,68.4,58.7,3485,152,21.0,25,25,17075,3.7,3.52,95.0,4150.0,25.0,0.04,0.0436154949784792,0.027259684361549498
112,0,161.0,107.9,186.7,68.4,56.7,3075,120,8.4,19,24,16630,3.46,3.19,97.0,5000.0,21.5,0.046511627906976744,0.03902439024390244,0.031544715447154474
113,0,161.0,107.9,186.7,68.4,56.7,3252,152,21.0,28,33,17950,3.7,3.52,95.0,4150.0,30.5,0.03278688524590164,0.046740467404674045,0.02921279212792128
114,0,161.0,108.0,186.7,68.3,56.0,3130,134,7.0,18,24,18150,3.61,3.21,142.0,5600.0,21.0,0.047619047619047616,0.04281150159744409,0.04536741214057508
115,1,119.0,93.7,157.3,63.8,50.8,1918,90,9.4,37,41,5572,2.97,3.23,68.0,5500.0,39.0,0.02564102564102564,0.04692387904066736,0.035453597497393116
116,1,119.0,93.7,157.3,63.8,50.8,2128,98,7.6,24,30,7957,3.03,3.39,102.0,5500.0,27.0,0.037037037037037035,0.046052631578947366,0.047932330827067667
117,1,154.0,93.7,157.3,63.8,50.6,1967,90,9.4,31,38,6229,2.97,3.23,68.0,5500.0,34.5,0.028985507246376812,0.045754956786985254,0.03457041179461108
118,1,154.0,93.7,167.3,63.8,50.8,1989,90,9.4,31,38,6692,2.97,3.23,68.0,5500.0,34.5,0.028985507246376812,0.04524886877828054,0.03418803418803419
119,1,154.0,93.7,167.3,63.8,50.8,2191,98,9.4,31,38,7609,2.97,3.23,68.0,5500.0,34.5,0.028985507246376812,0.04472843450479233,0.031036056595162027
120,-1,74.0,103.3,174.6,64.6,59.8,2535,122,8.5,24,30,8921,3.35,3.46,88.0,5000.0,27.0,0.037037037037037035,0.048126232741617356,0.03471400394477318
121,3,121.83636363636364,95.9,173.2,66.3,50.2,2818,156,7.0,19,24,12764,3.59,3.86,145.0,5000.0,21.5,0.046511627906976744,0.05535841022001419,0.05145493257629524
122,3,186.0,94.5,168.9,68.3,50.2,2778,151,9.5,19,27,22018,3.94,3.11,143.0,5500.0,23.0,0.043478260869565216,0.05435565154787617,0.05147588192944565
123,3,121.83636363636364,89.5,168.9,65.0,51.6,2756,194,9.5,17,25,32528,3.74,2.9,207.0,5900.0,21.0,0.047619047619047616,0.07039187227866474,0.07510885341074021
124,3,121.83636363636364,89.5,168.9,65.0,51.6,2756,194,9.5,17,25,34028,3.74,2.9,207.0,5900.0,21.0,0.047619047619047616,0.07039187227866474,0.07510885341074021
125,3,121.83636363636364,89.5,168.9,65.0,51.6,2800,194,9.5,17,25,37028,3.74,2.9,207.0,5900.0,21.0,0.047619047619047616,0.06928571428571428,0.07392857142857143
126,0,121.83636363636364,96.1,181.5,66.5,55.2,2579,132,8.7,23,31,9295,3.46,3.9,103.45,5119.0,27.0,0.037037037037037035,0.051182628925940284,
127,2,121.83636363636364,96.1,176.8,66.6,50.5,2460,132,8.7,23,31,9895,3.46,3.9,103.45,5119.0,27.0,0.037037037037037035,0.05365853658536585,
128,3,150.0,99.1,186.6,66.5,56.1,2658,121,9.31,21,28,11850,3.54,3.07,110.0,5250.0,24.5,0.04081632653061224,0.045522949586155007,0.04138449962377728
129,2,104.0,99.1,186.6,66.5,56.1,2695,121,9.3,21,28,12170,3.54,3.07,110.0,5250.0,24.5,0.04081632653061224,0.044897959183673466,0.04081632653061224
130,3,150.0,99.1,186.6,66.5,56.1,2707,121,9.3,21,28,15040,2.54,2.07,110.0,5250.0,24.5,0.04081632653061224,0.04469892870336165,0.04063538973032878
131,2,104.0,99.1,186.6,66.5,56.1,2758,121,9.3,21,28,15510,3.54,3.07,110.0,5250.0,24.5,0.04081632653061224,0.0438723712835388,0.03988397389412618
132,3,150.0,99.1,186.6,66.5,56.1,2808,121,9.0,19,26,18150,3.54,3.07,160.0,5500.0,22.5,0.044444444444444446,0.04309116809116809,0.05698005698005698
133,2,104.0,99.1,186.6,66.5,56.1,2847,121,9.0,19,26,18620,3.54,3.07,160.0,5500.0,22.5,0.044444444444444446,0.042500878117316475,0.056199508254302775
134,2,83.0,93.7,156.9,63.4,53.7,2050,97,9.0,31,36,5118,3.62,2.36,69.0,4900.0,33.5,0.029850746268656716,0.04731707317073171,0.033658536585365856
135,2,83.0,93.7,157.9,63.6,53.7,2120,108,8.7,26,31,7053,3.62,2.64,73.0,4400.0,28.5,0.03508771929824561,0.0509433962264151,0.03443396226415094
136,2,83.0,93.3,157.3,63.8,55.7,2240,108,8.7,26,31,7603,3.62,2.64,73.0,4400.0,28.5,0.03508771929824561,0.048214285714285716,0.032589285714285716
137,0,102.0,97.2,172.0,65.4,52.5,2145,108,9.5,32,37,7126,3.62,2.64,82.0,4800.0,34.5,0.028985507246376812,0.05034965034965035,0.03822843822843823
138,0,102.0,97.2,172.0,65.4,52.5,2190,108,9.5,28,33,7775,3.62,2.64,82.0,4400.0,30.5,0.03278688524590164,0.049315068493150684,0.03744292237442922
139,0,102.0,97.2,172.0,65.4,52.5,2340,108,9.0,26,32,9960,3.62,2.64,94.0,5200.0,29.0,0.034482758620689655,0.046153846153846156,0.040170940170940174
140,0,102.0,97.0,172.0,65.4,54.3,2385,108,9.0,24,25,9233,3.62,2.64,82.0,4800.0,24.5,0.04081632653061224,0.045283018867924525,0.034381551362683435
141,0,102.0,97.0,172.0,65.4,54.3,2510,108,7.7,24,29,11259,3.62,2.64,111.0,4800.0,26.5,0.03773584905660377,0.04302788844621514,0.044223107569721115
142,0,89.0,97.0,173.5,65.4,53.0,2290,108,9.0,28,32,7463,3.62,2.64,82.0,4800.0,30.0,0.03333333333333333,0.04716157205240175,0.03580786026200873
143,0,89.0,97.0,173.5,65.4,53.0,2455,108,9.0,25,31,10198,3.62,2.64,94.0,5200.0,28.0,0.03571428571428571,0.043991853360488796,0.038289205702647655
144,0,85.0,96.9,173.6,65.4,54.9,2420,108,9.0,23,29,8013,3.62,2.64,82.0,4800.0,26.0,0.038461538461538464,0.04462809917355372,0.033884297520661154
145,0,85.0,96.9,173.6,65.4,54.9,2650,108,7.7,23,23,11694,3.62,2.64,111.0,4800.0,23.0,0.043478260869565216,0.040754716981132075,0.04188679245283019
146,1,87.0,95.7,158.7,63.6,54.5,1985,92,9.0,35,39,5348,3.05,3.03,62.0,4800.0,37.0,0.02702702702702703,0.04634760705289673,0.031234256926952142
147,1,87.0,95.7,158.7,63.6,54.5,2040,92,9.0,31,38,6338,3.05,3.03,62.0,4800.0,34.5,0.028985507246376812,0.045098039215686274,0.030392156862745098
148,1,74.0,95.7,158.7,63.6,54.5,2015,92,9.0,31,38,6488,3.05,3.03,62.0,4800.0,34.5,0.028985507246376812,0.0456575682382134,0.03076923076923077
149,0,77.0,95.7,169.7,63.6,59.1,2280,92,9.0,31,37,6918,3.05,3.03,62.0,4800.0,34.0,0.029411764705882353,0.04035087719298246,0.027192982456140352
150,0,81.0,95.7,169.7,63.6,59.1,2290,92,9.0,27,32,7898,3.05,3.03,62.0,4800.0,29.5,0.03389830508474576,0.04017467248908297,0.027074235807860263
151,0,91.0,95.7,169.7,63.6,59.1,3110,92,9.0,27,32,8778,3.05,3.03,62.0,4800.0,29.5,0.03389830508474576,0.029581993569131833,0.019935691318327974
152,0,91.0,95.7,166.3,64.4,53.0,2081,98,9.0,30,37,6938,3.19,3.03,70.0,4800.0,33.5,0.029850746268656716,0.047092743873137916,0.03363767419509851
153,0,91.0,95.7,166.3,64.4,52.8,2109,98,9.0,30,37,7198,3.19,3.03,70.0,4800.0,33.5,0.029850746268656716,0.046467520151730675,0.03319108582266477
154,0,91.0,95.7,166.3,64.4,53.0,2275,110,22.5,34,36,7898,3.27,3.35,56.0,4500.0,35.0,0.02857142857142857,0.04835164835164835,0.024615384615384615
