,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,compression-ratio,city-mpg,highway-mpg,bore,stroke,horsepower,peak-rpm,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system
61,0,115.0,98.8,177.8,66.5,55.5,2425,122,8.6,26,32,3.39,3.39,84.0,4800.0,8,1,0,0,2,1,0,2,2,1
62,0,118.0,104.9,175.0,66.1,54.4,2670,140,8.0,19,27,3.76,3.16,120.0,5000.0,8,1,0,0,3,2,0,2,2,5
63,0,121.83636363636364,104.9,175.0,66.1,54.4,2700,134,22.0,31,39,3.43,3.64,72.0,4200.0,8,0,0,0,3,2,0,2,2,3
64,-1,93.0,110.0,190.9,70.3,56.5,3515,183,21.5,22,25,3.58,3.64,123.0,4350.0,9,0,1,0,3,2,0,2,1,3
65,-1,93.0,110.0,190.9,70.3,58.7,3750,183,21.5,22,25,3.58,3.64,123.0,4350.0,9,0,1,0,4,2,0,2,1,3
66,0,93.0,106.7,187.5,70.3,54.9,3495,183,21.5,22,25,3.58,3.64,123.0,4350.0,9,0,1,1,1,2,0,2,1,3
67,-1,93.0,115.6,202.6,71.7,56.3,3770,183,21.5,22,25,3.58,3.64,123.0,4350.0,9,0,1,0,3,2,0,2,1,3
68,-1,121.83636363636364,115.6,202.6,71.7,56.5,3740,234,8.3,16,18,3.46,3.1,155.0,4750.0,9,1,0,0,3,2,0,4,0,5
69,3,142.0,96.6,180.3,70.5,50.8,3685,234,8.3,16,18,3.46,3.1,155.0,4750.0,9,1,0,1,0,2,0,4,0,5
70,0,121.83636363636364,120.9,208.1,71.7,56.7,3900,308,8.0,14,16,3.8,3.35,184.0,4500.0,9,1,0,0,3,2,0,4,0,5
71,1,121.83636363636364,112.0,199.2,72.0,55.4,3715,304,8.0,14,16,3.8,3.35,184.0,4500.0,9,1,0,1,1,2,0,4,0,5
72,1,121.83636363636364,102.7,178.4,68.0,54.8,2910,140,8.0,19,24,3.78,3.12,175.0,5000.0,10,1,1,1,2,2,0,2,2,5
73,2,161.0,93.7,157.3,64.4,50.8,1918,92,9.4,37,41,2.97,3.23,68.0,5500.0,11,1,0,1,2,1,0,2,2,1
74,2,161.0,93.7,157.3,64.4,50.8,1944,92,9.4,31,38,2.97,3.23,68.0,5500.0,11,1,0,1,2,1,0,2,2,1
75,2,161.0,93.7,157.3,64.4,50.8,2004,92,9.4,31,38,2.97,3.23,68.0,5500.0,11,1,0,1,2,1,0,2,2,1
76,1,161.0,93.0,157.3,63.8,50.8,2145,98,7.6,24,30,3.03,3.39,102.0,5500.0,11,1,1,1,2,1,0,2,2,6
77,3,153.0,96.3,173.0,65.4,49.4,2370,110,7.5,23,30,3.17,3.46,116.0,5500.0,11,1,1,1,2,1,0,2,2,6
78,3,153.0,96.3,173.0,65.4,49.4,2328,122,8.5,25,32,3.35,3.46,88.0,5000.0,11,1,0,1,2,1,0,2,2,1
79,3,121.83636363636364,95.9,173.2,66.3,50.2,2833,156,7.0,19,24,3.58,3.86,145.0,5000.0,11,1,1,1,2,1,0,2,2,6
80,3,121.83636363636364,95.9,173.2,66.3,50.2,2921,156,7.0,19,24,3.59,3.86,145.0,5000.0,11,1,1,1,2,1,0,2,2,6
81,3,121.83636363636364,95.9,173.2,66.3,50.2,2926,156,7.0,19,24,3.59,3.86,145.0,5000.0,11,1,1,1,2,1,0,2,2,6
82,1,125.0,96.3,172.4,65.4,51.6,2365,122,8.5,25,32,3.35,3.46,88.0,5000.0,11,1,0,0,3,1,0,2,2,1
83,1,125.0,96.3,172.4,65.4,51.6,2405,122,8.5,25,32,3.35,3.46,88.0,5000.0,11,1,0,0,3,1,0,2,2,1
84,1,125.0,96.3,172.4,65.4,51.6,2403,110,7.5,23,30,3.17,3.46,116.0,5500.0,11,1,1,0,3,1,0,2,2,6
85,-1,137.0,96.3,172.4,65.4,51.6,2403,110,7.5,23,30,3.17,3.46,116.0,5500.0,11,1,0,0,3,1,0,2,2,6
86,1,128.0,94.5,165.3,63.8,54.5,1889,97,9.4,31,37,3.15,3.29,69.0,5200.0,12,1,0,1,3,1,0,2,2,1
87,1,128.0,94.5,165.3,63.8,54.5,2017,103,21.9,45,50,2.99,3.47,55.0,4800.0,12,0,0,1,3,1,0,2,2,3
88,1,128.0,94.5,165.3,63.8,54.5,1918,97,9.4,31,37,3.15,3.29,69.0,5200.0,12,1,0,1,3,1,0,2,2,1
89,1,122.0,94.5,165.3,63.8,54.5,1938,97,9.4,31,37,3.15,3.29,69.0,5200.0,12,1,0,0,3,1,0,2,2,1
90,1,103.0,94.5,170.2,63.8,53.5,2024,97,9.4,31,37,3.15,3.29,69.0,5200.0,12,1,0,0,4,1,0,2,2,1
91,1,128.0,94.5,165.3,63.8,54.5,1951,97,9.4,31,37,3.15,3.29,69.0,5200.0,12,1,0,1,3,1,0,2,2,1
92,1,128.0,94.5,165.6,63.8,53.3,2028,97,9.4,31,37,3.15,3.29,69.0,5200.0,12,1,0,1,2,1,0,2,2,1
93,1,122.0,94.5,165.3,63.8,54.5,1971,97,9.4,31,37,3.15,3.29,69.0,5200.0,12,1,0,0,3,1,0,2,2,1
94,1,103.0,94.5,170.2,63.8,53.5,2037,97,9.4,31,37,3.15,3.29,69.0,5200.0,12,1,0,0,4,1,0,2,2,1
95,2,168.0,95.1,162.4,63.8,53.3,2008,97,9.4,31,37,3.15,3.29,69.0,5200.0,12,1,0,1,1,1,0,2,2,1
96,0,106.0,97.2,173.4,65.2,54.7,2324,120,8.5,27,34,3.33,3.47,97.0,5200.0,12,1,0,0,2,1,0,2,2,1
97,0,106.0,97.2,173.4,65.2,54.7,2302,120,8.5,27,34,3.33,3.47,97.0,5200.0,12,1,0,0,3,1,0,2,2,1
98,0,128.0,100.4,181.7,66.5,55.1,3095,181,9.0,17,22,3.43,3.27,152.0,5200.0,12,1,0,0,3,1,0,4,3,5
99,0,108.0,100.4,184.6,66.5,56.1,3296,181,9.0,17,22,3.43,3.27,152.0,5200.0,12,1,0,0,4,1,0,4,3,5
100,0,108.0,100.4,184.6,66.5,55.1,3060,181,9.0,19,25,3.43,3.27,152.0,5200.0,12,1,0,0,3,1,0,4,3,5
101,3,194.0,91.3,170.7,67.9,49.7,3071,181,9.0,19,25,3.43,3.27,160.0,5200.0,12,1,0,1,2,2,0,4,3,5
102,3,194.0,91.3,170.7,67.9,49.7,3139,181,7.8,17,23,3.43,3.27,200.0,5200.0,12,1,1,1,2,2,0,4,3,5
103,1,231.0,99.2,178.5,67.9,49.7,3139,181,9.0,19,25,3.43,3.27,160.0,5200.0,12,1,0,1,2,2,0,4,3,5
104,0,161.0,107.9,186.7,68.4,56.7,3020,120,8.4,19,24,3.46,3.19,97.0,5000.0,13,1,0,0,3,2,0,1,2,5
105,0,161.0,107.9,186.7,68.4,56.7,3197,152,21.0,28,33,3.7,3.52,95.0,4150.0,13,0,1,0,3,2,0,1,2,3
106,0,121.83636363636364,114.2,198.9,68.4,58.7,3230,120,8.4,19,24,3.46,3.19,97.0,5000.0,13,1,0,0,4,2,0,1,2,5
107,0,121.83636363636364,114.2,198.9,68.4,58.7,3430,152,21.0,25,25,3.7,3.52,95.0,4150.0,13,0,1,0,4,2,0,1,2,3
108,0,161.0,107.9,186.7,68.4,56.7,3075,120,8.4,19,24,3.46,2.19,95.0,5000.0,13,1,0,0,3,2,0,1,2,5
109,0,161.0,107.9,186.7,68.4,56.7,3252,152,21.0,28,33,3.7,3.52,95.0,4150.0,13,0,1,0,3,2,0,1,2,3
110,0,121.83636363636364,114.2,198.9,68.4,56.7,3285,120,8.4,19,24,3.46,2.19,95.0,5000.0,13,1,0,0,4,2,0,1,2,5
111,0,121.83636363636364,114.2,198.9,68.4,58.7,3485,152,21.0,25,25,3.7,3.52,95.0,4150.0,13,0,1,0,4,2,0,1,2,3
112,0,161.0,107.9,186.7,68.4,56.7,3075,120,8.4,19,24,3.46,3.19,97.0,5000.0,13,1,0,0,3,2,0,1,2,5
113,0,161.0,107.9,186.7,68.4,56.7,3252,152,21.0,28,33,3.7,3.52,95.0,4150.0,13,0,1,0,3,2,0,1,2,3
114,0,161.0,108.0,186.7,68.3,56.0,3130,134,7.0,18,24,3.61,3.21,142.0,5600.0,13,1,1,0,3,2,0,1,2,5
115,1,119.0,93.7,157.3,63.8,50.8,1918,90,9.4,37,41,2.97,3.23,68.0,5500.0,14,1,0,1,2,1,0,2,2,1
116,1,119.0,93.7,157.3,63.8,50.8,2128,98,7.6,24,30,3.03,3.39,102.0,5500.0,14,1,1,1,2,1,0,2,2,6
117,1,154.0,93.7,157.3,63.8,50.6,1967,90,9.4,31,38,2.97,3.23,68.0,5500.0,14,1,0,0,2,1,0,2,2,1
118,1,154.0,93.7,167.3,63.8,50.8,1989,90,9.4,31,38,2.97,3.23,68.0,5500.0,14,1,0,0,3,1,0,2,2,1
119,1,154.0,93.7,167.3,63.8,50.8,2191,98,9.4,31,38,2.97,3.23,68.0,5500.0,14,1,0,0,3,1,0,2,2,1
120,-1,74.0,103.3,174.6,64.6,59.8,2535,122,8.5,24,30,3.35,3.46,88.0,5000.0,14,1,0,0,4,1,0,2,2,1
121,3,121.83636363636364,95.9,173.2,66.3,50.2,2818,156,7.0,19,24,3.59,3.86,145.0,5000.0,14,1,1,1,2,2,0,2,2,6
122,3,186.0,94.5,168.9,68.3,50.2,2778,151,9.5,19,27,3.94,3.11,143.0,5500.0,15,1,0,1,2,2,0,2,2,5
123,3,121.83636363636364,89.5,168.9,65.0,51.6,2756,194,9.5,17,25,3.74,2.9,207.0,5900.0,15,1,0,1,1,2,1,3,3,5
124,3,121.83636363636364,89.5,168.9,65.0,51.6,2756,194,9.5,17,25,3.74,2.9,207.0,5900.0,15,1,0,1,1,2,1,3,3,5
125,3,121.83636363636364,89.5,168.9,65.0,51.6,2800,194,9.5,17,25,3.74,2.9,207.0,5900.0,15,1,0,1,0,2,1,3,3,5
126,0,121.83636363636364,96.1,181.5,66.5,55.2,2579,132,8.7,23,31,3.46,3.9,103.45,5119.0,16,1,0,0,4,1,0,2,2,5
127,2,121.83636363636364,96.1,176.8,66.6,50.5,2460,132,8.7,23,31,3.46,3.9,103.45,5119.0,16,1,0,1,2,1,0,2,2,5
128,3,150.0,99.1,186.6,66.5,56.1,2658,121,9.31,21,28,3.54,3.07,110.0,5250.0,17,1,0,1,2,1,0,2,2,5
129,2,104.0,99.1,186.6,66.5,56.1,2695,121,9.3,21,28,3.54,3.07,110.0,5250.0,17,1,0,0,3,1,0,2,2,5
130,3,150.0,99.1,186.6,66.5,56.1,2707,121,9.3,21,28,2.54,2.07,110.0,5250.0,17,1,0,1,2,1,0,2,2,5
131,2,104.0,99.1,186.6,66.5,56.1,2758,121,9.3,21,28,3.54,3.07,110.0,5250.0,17,1,0,0,3,1,0,2,2,5
132,3,150.0,99.1,186.6,66.5,56.1,2808,121,9.0,19,26,3.54,3.07,160.0,5500.0,17,1,1,1,2,1,0,0,2,5
133,2,104.0,99.1,186.6,66.5,56.1,2847,121,9.0,19,26,3.54,3.07,160.0,5500.0,17,1,1,0,3,1,0,0,2,5
134,2,83.0,93.7,156.9,63.4,53.7,2050,97,9.0,31,36,3.62,2.36,69.0,4900.0,18,1,0,1,2,1,0,3,2,1
135,2,83.0,93.7,157.9,63.6,53.7,2120,108,8.7,26,31,3.62,2.64,73.0,4400.0,18,1,0,1,2,1,0,3,2,1
136,2,83.0,93.3,157.3,63.8,55.7,2240,108,8.7,26,31,3.62,2.64,73.0,4400.0,18,1,0,1,2,0,0,3,2,1
137,0,102.0,97.2,172.0,65.4,52.5,2145,108,9.5,32,37,3.62,2.64,82.0,4800.0,18,1,0,0,3,1,0,3,2,1
138,0,102.0,97.2,172.0,65.4,52.5,2190,108,9.5,28,33,3.62,2.64,82.0,4400.0,18,1,0,0,3,1,0,3,2,1
139,0,102.0,97.2,172.0,65.4,52.5,2340,108,9.0,26,32,3.62,2.64,94.0,5200.0,18,1,0,0,3,1,0,3,2,5
140,0,102.0,97.0,172.0,65.4,54.3,2385,108,9.0,24,25,3.62,2.64,82.0,4800.0,18,1,0,0,3,0,0,3,2,1
141,0,102.0,97.0,172.0,65.4,54.3,2510,108,7.7,24,29,3.62,2.64,111.0,4800.0,18,1,1,0,3,0,0,3,2,5
142,0,89.0,97.0,173.5,65.4,53.0,2290,108,9.0,28,32,3.62,2.64,82.0,4800.0,18,1,0,0,4,1,0,3,2,1
143,0,89.0,97.0,173.5,65.4,53.0,2455,108,9.0,25,31,3.62,2.64,94.0,5200.0,18,1,0,0,4,1,0,3,2,5
144,0,85.0,96.9,173.6,65.4,54.9,2420,108,9.0,23,29,3.62,2.64,82.0,4800.0,18,1,0,0,4,0,0,3,2,1
145,0,85.0,96.9,173.6,65.4,54.9,2650,108,7.7,23,23,3.62,2.64,111.0,4800.0,18,1,1,0,4,0,0,3,2,5
146,1,87.0,95.7,158.7,63.6,54.5,1985,92,9.0,35,39,3.05,3.03,62.0,4800.0,19,1,0,1,2,1,0,2,2,1
147,1,87.0,95.7,158.7,63.6,54.5,2040,92,9.0,31,38,3.05,3.03,62.0,4800.0,19,1,0,1,2,1,0,2,2,1
148,1,74.0,95.7,158.7,63.6,54.5,2015,92,9.0,31,38,3.05,3.03,62.0,4800.0,19,1,0,0,2,1,0,2,2,1
149,0,77.0,95.7,169.7,63.6,59.1,2280,92,9.0,31,37,3.05,3.03,62.0,4800.0,19,1,0,0,4,1,0,2,2,1
150,0,81.0,95.7,169.7,63.6,59.1,2290,92,9.0,27,32,3.05,3.03,62.0,4800.0,19,1,0,0,4,0,0,2,2,1
151,0,91.0,95.7,169.7,63.6,59.1,3110,92,9.0,27,32,3.05,3.03,62.0,4800.0,19,1,0,0,4,0,0,2,2,1
152,0,91.0,95.7,166.3,64.4,53.0,2081,98,9.0,30,37,3.19,3.03,70.0,4800.0,19,1,0,0,3,1,0,2,2,1
153,0,91.0,95.7,166.3,64.4,52.8,2109,98,9.0,30,37,3.19,3.03,70.0,4800.0,19,1,0,0,2,1,0,2,2,1
154,0,91.0,95.7,166.3,64.4,53.0,2275,110,22.5,34,36,3.27,3.35,56.0,4500.0,19,0,0,0,3,1,0,2,2,3
155,0,91.0,95.7,166.3,64.4,52.8,2275,110,22.5,38,47,3.27,3.35,56.0,4500.0,19,0,0,0,2,1,0,2,2,3
156,0,91.0,95.7,166.3,64.4,53.0,2094,98,9.0,38,47,3.19,3.03,70.0,4800.0,19,1,0,0,3,1,0,2,2,1
157,0,91.0,95.7,166.3,64.4,52.8,2122,98,9.0,28,34,3.19,3.03,70.0,4800.0,19,1,0,0,2,1,0,2,2,1
158,0,91.0,95.7,166.3,64.4,52.8,2140,98,9.0,28,34,3.19,3.03,70.0,4800.0,19,1,0,0,3,1,0,2,2,1
159,1,168.0,94.5,168.7,64.0,52.6,2169,98,9.0,29,34,3.19,3.03,70.0,4800.0,19,1,0,1,3,2,0,2,2,1
160,1,168.0,94.5,168.7,64.0,52.6,2204,98,9.0,29,34,3.19,3.03,70.0,4800.0,19,1,0,1,2,2,0,2,2,1
161,1,168.0,94.5,168.7,64.0,52.6,2265,98,9.4,26,29,3.24,3.08,112.0,6600.0,19,1,0,1,3,2,0,0,2,5
162,1,168.0,94.5,168.7,64.0,52.6,2300,98,9.4,26,29,3.24,3.08,112.0,6600.0,19,1,0,1,2,2,0,0,2,5
163,2,134.0,98.4,176.2,65.6,52.0,2540,146,9.3,24,30,3.62,3.5,116.0,4800.0,19,1,0,1,1,2,0,2,2,5
164,2,134.0,98.4,176.2,65.6,52.0,2536,146,9.3,24,30,3.62,3.5,116.0,4800.0,19,1,0,1,1,2,0,2,2,5
165,2,134.0,98.4,176.2,65.6,52.0,2551,146,9.3,24,30,3.62,3.5,116.0,4800.0,19,1,0,1,2,2,0,2,2,5
166,2,134.0,98.4,176.2,65.6,52.0,2679,146,9.3,24,30,3.62,3.5,116.0,4800.0,19,1,0,1,1,2,0,2,2,5
167,2,134.0,98.4,176.2,65.6,52.0,2714,146,9.3,24,30,3.62,3.5,116.0,4800.0,19,1,0,1,2,2,0,2,2,5
168,2,134.0,98.4,176.2,65.6,53.0,2975,146,9.3,24,30,3.62,3.5,116.0,4800.0,19,1,0,1,0,2,0,2,2,5
169,-1,65.0,102.4,175.6,66.5,54.9,2326,122,8.7,29,34,3.31,3.54,92.0,4200.0,19,1,0,0,3,1,0,2,2,5
170,-1,65.0,102.4,175.6,66.5,54.9,2480,110,22.5,30,33,3.27,3.35,73.0,4500.0,19,0,1,0,3,1,0,2,2,3
171,-1,65.0,102.4,175.6,66.5,53.9,2414,122,8.7,27,32,3.31,3.54,92.0,4200.0,19,1,0,0,2,1,0,2,2,5
172,-1,65.0,102.4,175.6,66.5,54.9,2414,122,8.7,27,32,3.31,3.54,92.0,4200.0,19,1,0,0,3,1,0,2,2,5
173,-1,65.0,102.4,175.6,66.5,53.9,2458,122,8.7,27,32,3.31,3.54,92.0,4200.0,19,1,0,0,2,1,0,2,2,5
174,3,197.0,102.9,183.5,67.7,52.0,2976,171,9.3,20,24,3.27,3.35,161.0,5200.0,19,1,0,1,2,2,0,0,3,5
175,3,197.0,102.9,183.5,67.7,52.0,3016,171,9.3,19,24,3.27,3.35,161.0,5200.0,19,1,0,1,2,2,0,0,3,5
176,-1,90.0,104.5,187.8,66.5,54.1,3131,171,9.2,20,24,3.27,3.35,156.0,5200.0,19,1,0,0,3,2,0,0,3,5
177,-1,121.83636363636364,104.5,187.8,66.5,54.1,3151,161,9.2,19,24,3.27,3.35,156.0,5200.0,19,1,0,0,4,2,0,0,3,5
178,2,122.0,97.3,171.7,65.5,55.7,2261,97,23.0,37,46,3.01,3.4,52.0,4800.0,20,0,0,1,3,1,0,2,2,3
179,2,122.0,97.3,171.7,65.5,55.7,2209,109,9.0,27,34,3.19,3.4,85.0,5250.0,20,1,0,1,3,1,0,2,2,5
180,2,94.0,97.3,171.7,65.5,55.7,2264,97,23.0,37,46,3.01,3.4,52.0,4800.0,20,0,0,0,3,1,0,2,2,3
181,2,94.0,97.3,171.7,65.5,55.7,2212,109,9.0,27,34,3.19,3.4,85.0,5250.0,20,1,0,0,3,1,0,2,2,5
182,2,94.0,97.3,171.7,65.5,55.7,2275,109,9.0,27,34,3.19,3.4,85.0,5250.0,20,1,0,0,3,1,0,2,2,5
